timestamp,benchmark,task,backend,model,num_samples,metric,value,duration_s,prompt_version,config_hash,git_sha
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/scene type,18.000000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,oa,0.200000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:20+00:00,bigearthnet_bench,crossmodal_vqa,hf,/workspace/runs/merged,200,aa,0.186482,9.66,1.1.0,b0e0e192f55f,
2026-09-10T11:25:20+00:00,bigearthnet_bench,crossmodal_vqa,hf,/workspace/runs/merged,200,acc/binary,0.126050,9.66,1.1.0,b0e0e192f55f,
2026-09-10T11:25:20+00:00,bigearthnet_bench,crossmodal_vqa,hf,/workspace/runs/merged,200,acc/mcq,0.246914,9.66,1.1.0,b0e0e192f55f,
2026-09-10T11:25:20+00:00,bigearthnet_bench,crossmodal_vqa,hf,/workspace/runs/merged,200,n,200.000000,9.66,1.1.0,b0e0e192f55f,
2026-09-10T11:25:20+00:00,bigearthnet_bench,crossmodal_vqa,hf,/workspace/runs/merged,200,n/binary,119.000000,9.66,1.1.0,b0e0e192f55f,
2026-09-10T11:25:20+00:00,bigearthnet_bench,crossmodal_vqa,hf,/workspace/runs/merged,200,n/mcq,81.000000,9.66,1.1.0,b0e0e192f55f,
2026-09-10T11:25:20+00:00,bigearthnet_bench,crossmodal_vqa,hf,/workspace/runs/merged,200,oa,0.175000,9.66,1.1.0,b0e0e192f55f,
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,aa,0.018395,19.60,1.1.0,febb9815b313,
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,acc/change_or_not,0.112676,19.60,1.1.0,febb9815b313,
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,acc/change_ratio,0.000000,19.60,1.1.0,febb9815b313,
2026-09-10T11:25:40+00:00,cdvqa,change_vqa,hf,/workspace/runs/merged,200,acc/change_ratio_types,0.034483,19.60,1.1.0,febb9815b313,
